0.3046,0.4449,0.447,0.2868,0.2877,0.3343,0.5047,0.5545,0.4812,0.4933,0.6094,0.4989,0.6273,0.549,0.4854,0.4194,0.4012,0.4639,0.5642,0.5496,0.6969,0.4169,0.5992,0.6242,0.6684,0.6014,0.5731,0.4665,0.542,0.5198,0.438,0.6286,0.5026,0.5093,0.5752,0.6821,0.4499,0.7585,0.4496,0.5532,0.4311,0.4701,0.429,0.5688,0.4471,0.4546,0.4622,0.5556,0.5305,0.448,0.431,0.4817,0.5132,0.5,0.5169,0.7546,0.6959,0.7041,0.6276,0.7359,0.7927,0.7398,0.5885,0.3329,0.431,0.7995,0.3591,0.4722,0.5261,0.5576,0.7013,0.6942,0.735,0.4738,0.4957,0.5279,0.3211,GO0003924@GO0005798@GO0005829@GO0006888@GO0006891
0.3872,0.3978,0.451,0.2472,0.3514,0.3746,0.4648,0.5205,0.4697,0.4663,0.6198,0.5262,0.5617,0.5725,0.4561,0.3554,0.4134,0.5086,0.6115,0.4504,0.6969,0.4139,0.5692,0.5795,0.7046,0.6794,0.6005,0.5168,0.5506,0.5877,0.4519,0.6831,0.4695,0.5237,0.5074,0.7103,0.2791,0.755,0.3672,0.613,0.2988,0.4753,0.3202,0.6017,0.4865,0.5244,0.4863,0.5819,0.6434,0.5973,0.5796,0.4602,0.4887,0.4448,0.4565,0.3328,0.7289,0.7398,0.5482,0.8268,0.8141,0.7512,0.6394,0.3033,0.477,0.8566,0.4945,0.7222,0.6569,0.7455,0.6101,0.5468,0.5457,0.5037,0.2997,0.3578,0.2171,GO0003735@GO0005843@GO0006412@GO0000028@GO0000723
0.397,0.3078,0.4134,0.2559,0.3514,0.4035,0.4671,0.4545,0.571,0.4582,0.6328,0.5125,0.6325,0.5941,0.4833,0.4463,0.4407,0.4605,0.527,0.4466,0.4469,0.4139,0.621,0.596,0.635,0.5754,0.6074,0.3992,0.6316,0.5158,0.4846,0.6062,0.5246,0.4455,0.5685,0.7051,0.4498,0.6788,0.456,0.5029,0.5412,0.5718,0.5936,0.5252,0.4135,0.4195,0.5974,0.6199,0.4928,0.267,0.4692,0.557,0.5887,0.5285,0.6957,0.7143,0.7174,0.7807,0.4745,0.6197,0.7543,0.6585,0.5133,0.437,0.4904,0.7915,0.4503,0.6111,0.4542,0.6788,0.5063,0.6295,0.5237,0.4638,0.4611,0.4381,0.3028,GO0004842@GO0005634@GO0005737@GO0000209@GO0006513
0.1961,0.3441,0.4322,0.2831,0.27,0.2723,0.439,0.4182,0.4377,0.5633,0.8932,0.7449,0.8268,0.5804,0.3745,0.1529,0.1125,0.3333,0.7162,0.6527,0.8813,0.4411,0.3905,0.1937,0.4194,0.8111,0.9353,0.6499,0.7328,0.6895,0.588,0.4769,0.2908,0.2607,0.5296,0.6318,0.5924,0.899,0.7023,0.7721,0.6541,0.4518,0.2833,0.4296,0.2654,0.3942,0.4573,0.5234,0.6111,0.4774,0.4374,0.5247,0.5792,0.4911,0.5097,0.7697,0.6529,0.7078,0.5936,0.798,0.6624,0.748,0.5288,0.3252,0.4176,0.7795,0.2707,0.4691,0.3529,0.6303,0.7358,0.7842,0.6845,0.6209,0.5101,0.522,0.3456,GO0004857@GO0005634@GO0005737@GO0007005@GO0006974
0.4303,0.6331,0.6537,0.5723,0.3419,0.487,0.5775,0.6,0.4812,0.5687,0.5938,0.5103,0.5722,0.5373,0.3305,0.4442,0.4195,0.4398,0.4692,0.3893,0.3719,0.429,0.6106,0.5894,0.6537,0.5737,0.5612,0.4767,0.4939,0.4632,0.3739,0.6138,0.4578,0.5972,0.5204,0.6719,0.3153,0.7202,0.5205,0.4892,0.5294,0.4635,0.5887,0.6191,0.5423,0.5533,0.8116,0.6725,0.6129,0.4751,0.3694,0.529,0.4925,0.4733,0.5725,0.6269,0.6,0.5847,0.603,0.7322,0.6538,0.6618,0.5465,0.5206,0.4885,0.826,0.5055,0.4352,0.415,0.5455,0.4591,0.4784,0.4637,0.4364,0.4438,0.5953,0.4312,GO0004033@GO0005634@GO0005737@GO0019568@GO0042843@GO0009651
0.2663,0.4194,0.4604,0.3375,0.3121,0.353,0.338,0.4455,0.4319,0.5229,0.6615,0.5968,0.6457,0.698,0.4603,0.3967,0.4195,0.4399,0.5236,0.5115,0.5312,0.5559,0.5994,0.5679,0.6282,0.6447,0.4896,0.4845,0.5142,0.5351,0.4773,0.6554,0.5029,0.5,0.55,0.6597,0.2972,0.7649,0.4635,0.6071,0.4659,0.5765,0.4631,0.5913,0.4481,0.4629,0.5201,0.5965,0.5735,0.5407,0.4246,0.5247,0.6057,0.5302,0.6256,0.605,0.595,0.656,0.5822,0.7233,0.7778,0.7203,0.5044,0.3368,0.433,0.7862,0.4917,0.5525,0.4379,0.5576,0.6667,0.6079,0.7224,0.4938,0.415,0.4604,0.4495,GO0000033@GO0005575@GO0006493
0.1529,0.3508,0.4161,0.2695,0.3351,0.4366,0.5516,0.6114,0.4609,0.5283,0.487,0.5216,0.5433,0.5353,0.4561,0.4132,0.4286,0.4845,0.4966,0.4847,0.4781,0.4894,0.4107,0.3328,0.5246,0.6499,0.6212,0.5065,0.583,0.607,0.5535,0.6785,0.5324,0.5142,0.5907,0.719,0.4036,0.7748,0.4439,0.6523,0.4588,0.5106,0.2685,0.633,0.4981,0.5335,0.4783,0.5322,0.5358,0.4593,0.3737,0.486,0.5491,0.5231,0.587,0.7412,0.7074,0.6952,0.6125,0.7371,0.7479,0.7187,0.6106,0.4254,0.4655,0.8765,0.5552,0.534,0.5915,0.6121,0.5723,0.5252,0.5552,0.4913,0.3833,0.3196,0.2324,GO0004129@GO0005751@GO0005739@GO0006123
0.2737,0.457,0.4483,0.33,0.2673,0.3646,0.3545,0.4545,0.4029,0.6469,0.6589,0.6014,0.6457,0.6098,0.3117,0.4029,0.3587,0.5739,0.4865,0.6031,0.6875,0.574,0.4942,0.4702,0.6333,0.662,0.545,0.5271,0.6134,0.6018,0.3884,0.62,0.4165,0.4573,0.4981,0.8586,0.4116,0.8411,0.4742,0.6699,0.4871,0.5529,0.4975,0.2835,0.4635,0.528,0.3478,0.5614,0.5932,0.5226,0.5435,0.5441,0.5698,0.4911,0.6449,0.7462,0.6298,0.6918,0.603,0.7385,0.5556,0.7707,0.5642,0.3792,0.5517,0.8088,0.4171,0.534,0.4902,0.5727,0.6195,0.5576,0.6183,0.5611,0.3573,0.4223,0.3486,GO0005486@GO0005783@GO0005737@GO0005887@GO0006906@GO0006893
0.2244,0.3737,0.3893,0.2608,0.3446,0.3314,0.4366,0.4386,0.458,0.5526,0.6979,0.4852,0.643,0.6196,0.4603,0.4525,0.4529,0.4227,0.5372,0.458,0.6125,0.4381,0.683,0.6341,0.7063,0.6516,0.5242,0.4922,0.4534,0.5456,0.3648,0.6708,0.4126,0.5118,0.4537,0.6178,0.3574,0.7997,0.4314,0.611,0.2494,0.5129,0.3916,0.6678,0.5231,0.5588,0.4461,0.576,0.5968,0.4955,0.2951,0.5591,0.5906,0.4875,0.5531,0.7361,0.7025,0.7083,0.5974,0.7759,0.6902,0.722,0.5376,0.3252,0.5939,0.8207,0.442,0.5309,0.5163,0.5152,0.5975,0.6259,0.5804,0.409,0.4438,0.5572,0.3517,GO0016532@GO0005743@GO0005829@GO0015680
0.2935,0.4301,0.3638,0.403,0.3243,0.4049,0.4906,0.5136,0.4145,0.5633,0.6224,0.41,0.5486,0.6196,0.5314,0.4256,0.4468,0.4502,0.4595,0.5153,0.5438,0.4894,0.5058,0.4685,0.5484,0.6291,0.5797,0.4574,0.5405,0.5298,0.4138,0.68,0.5953,0.5995,0.6611,0.644,0.5582,0.7715,0.2959,0.5933,0.5059,0.3788,0.5099,0.6104,0.4904,0.4864,0.4734,0.5512,0.5305,0.5,0.3333,0.5269,0.4094,0.4733,0.6353,0.6487,0.7223,0.6756,0.7467,0.8115,0.687,0.7935,0.5774,0.2661,0.5517,0.8473,0.3785,0.4969,0.5392,0.6424,0.6415,0.518,0.6057,0.5436,0.4006,0.4428,0.4648,GO0003674@GO0005783@GO0000329@GO0006506@GO0030026
